id,vehicle_id,vehicle_label,vehicle_current_status,position_latitude,position_longitude,county
0,170,112,2,19.3174991607666,-99.18779754638672,Benito Juárez
1,177,119,1,19.292600631713867,-99.17749786376952,Tlalpan
2,1286,219,2,19.45009994506836,-99.11009979248048,Benito Juárez
3,1302,235,1,19.38920021057129,-99.05979919433594,Benito Juárez
4,361,303,2,19.38260078430176,-99.0613021850586,Benito Juárez
5,370,312,2,19.38990020751953,-99.05889892578124,Benito Juárez
6,371,313,1,19.47920036315918,-99.06390380859376,Benito Juárez
7,409,351,2,19.40390014648437,-99.17240142822266,Benito Juárez
8,449,391,1,19.403499603271484,-99.17040252685548,Benito Juárez
9,1,401,2,19.427000045776367,-99.14900207519533,Benito Juárez
10,33,433,2,19.491600036621094,-99.15270233154295,Benito Juárez
11,38,438,2,19.420000076293945,-99.1541976928711,Benito Juárez
12,39,439,2,19.3971004486084,-99.15589904785156,Benito Juárez
13,40,440,2,19.404300689697266,-99.15540313720705,Benito Juárez
14,53,453,2,19.511999130249023,-99.1604995727539,Benito Juárez
15,1148,462,2,19.51729965209961,-99.1626968383789,Benito Juárez
16,1149,463,2,19.50629997253418,-99.1584014892578,Tlalnepantla de Baz
17,981,467,2,19.437700271606445,-99.1479034423828,Benito Juárez
18,982,468,2,19.526100158691406,-99.16809844970705,Benito Juárez
19,984,470,2,19.442800521850582,-99.14800262451172,Benito Juárez
20,985,471,1,19.483999252319336,-99.1498031616211,Benito Juárez
21,467,509,1,19.437299728393555,-99.1458969116211,Benito Juárez
22,483,525,1,19.43610000610352,-99.12139892578124,Benito Juárez
23,486,528,1,19.429000854492188,-99.1321029663086,Benito Juárez
24,490,532,2,19.43560028076172,-99.11640167236328,Benito Juárez
25,491,533,1,19.44499969482422,-99.1522979736328,Benito Juárez
26,492,534,2,19.43560028076172,-99.15460205078124,Benito Juárez
27,496,538,2,19.440900802612305,-99.15260314941406,Benito Juárez
28,512,554,1,19.430700302124023,-99.1155014038086,Benito Juárez
29,557,614,2,19.429100036621094,-99.1143035888672,Benito Juárez
30,562,619,2,19.49740028381348,-99.0896987915039,Benito Juárez
31,10000,620,2,19.432100296020508,-99.11509704589844,Benito Juárez
32,1085,712,2,19.49530029296875,-99.15480041503906,Benito Juárez
33,1115,762,2,19.475799560546875,-99.08989715576172,Benito Juárez
34,1120,767,2,19.490699768066406,-99.1331024169922,Benito Juárez
35,1132,784,2,19.473499298095703,-99.07029724121094,Benito Juárez
36,702,802,1,19.48349952697754,-99.11389923095705,Benito Juárez
37,705,805,2,19.487499237060547,-99.11380004882812,Benito Juárez
38,713,813,2,19.454599380493164,-99.13020324707033,Benito Juárez
39,716,816,2,19.425800323486328,-99.19309997558594,Benito Juárez
40,753,905,2,19.453399658203125,-99.13079833984376,Benito Juárez
41,757,909,2,19.45929908752441,-99.12840270996094,Benito Juárez
42,760,912,2,19.42679977416992,-99.19940185546876,Benito Juárez
43,766,918,2,19.429800033569336,-99.1614990234375,Benito Juárez
44,787,939,2,19.48730087280273,-99.11370086669922,Benito Juárez
45,789,941,1,19.44379997253418,-99.13909912109376,Benito Juárez
46,1253,1000,2,19.39590072631836,-99.15660095214844,Benito Juárez
47,531,1057,1,19.27939987182617,-99.16899871826172,Tlalpan
